[2026-09-13 15:13:17] debug: 	zh:controller:endpoint: ZCL command 0x94b216fffef3cf25/1 manuSpecificTuya.defaultRsp({"cmdId":2,"statusCode":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"transactionSequenceNumber":15,"writeUndiv":false})
[2026-09-13 15:13:17] debug: 	zh:ember: ~~~> [ZCL to=0x94b216fffef3cf25:3595 apsFrame={"profileId":260,"clusterId":61184,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":15,"commandIdentifier":11}]
[2026-09-13 15:13:17] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=169 Len=26]
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=1 frmRx=0](ackRx=1)
[2026-09-13 15:13:17] debug: 	z2m: Received Zigbee message from 'Nivelagua', type 'commandDataReport', cluster 'manuSpecificTuya', data '{"dpValues":[{"data":{"data":[0,0,0,38],"type":"Buffer"},"datatype":2,"dp":2}],"seq":23808}' from endpoint 1 with groupID 0
[2026-09-13 15:13:17] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Nivelagua', payload '{"installation_height":0.75,"linkquality":136,"liquid_depth":0.38,"liquid_depth_max":0.28,"liquid_level_percent":81,"liquid_state":"high","max_set":80,"min_set":25}'
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=1 frmTx=2)
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=0](frmRx=0) Added to rxQueue
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=2)
[2026-09-13 15:13:17] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=169 Len=7]
[2026-09-13 15:13:17] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=202 messageTag=8 status=OK]
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2026-09-13 15:13:17] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=169 Len=22]
[2026-09-13 15:13:17] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=3595 apsFrame={"profileId":260,"clusterId":61184,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":202} messageTag=8
[2026-09-13 15:13:17] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
